北海道,札幌,sapporo,2128295
青森県,青森,aomori,2130658
岩手県,盛岡,morioka,2111834
宮城県,仙台,sendai,2111149
秋田県,秋田,akita,2113126
山形県,山形,yamagata,2110556
福島県,福島,fukushima,2112923
茨城県,水戸,mito,2111901
栃木県,宇都宮,utsunomiya,1849053
群馬県,前橋,maebashi,1857843
埼玉県,さいたま,saitama,6940394
千葉県,千葉,chiba,2113015
東京都,東京,tokyo,1850147
神奈川県,横浜,yokohama,1848354
新潟県,新潟,niigata,1855431
富山県,富山,toyama,1849876
石川県,金沢,kanazawa,1860243
福井県,福井,fukui,1863983
山梨県,山梨,yamanashi,1848649
長野県,長野,nagano,1856215
岐阜県,岐阜,gifu,1863640
静岡県,静岡,shizuoka,1851715
愛知県,名古屋,nagoya,1856057
三重県,津,tsu,1849796
滋賀県,大津,otsu,1853574
京都府,京都,kyouto,1857910
大阪府,大阪,osaka,1853909
兵庫県,神戸,koube,1859171
奈良県,奈良,nara,1855612
和歌山県,和歌山,wakayama,1926004
鳥取県,鳥取,tottori,1849890
島根県,松江,matsue,1857550
岡山県,岡山,okayama,1854383
広島県,広島,hiroshima,1862415
山口県,山口,yamaguchi,1848689
徳島県,徳島,tokushima,1850158
香川県,高松,takamatsu,1851100
愛媛県,松山,matsuyama,1926099
高知県,高知,kochi,1859146
福岡県,福岡,fukuoka,1863967
佐賀県,佐賀,saga,1853303
長崎県,長崎,nagasaki,1856177
熊本県,熊本,kumamoto,1858421
大分県,大分,oita,1854487
宮崎県,宮崎,miyazaki,1856717
鹿児島県,鹿児島,kagoshima,1860827
沖縄県,那覇,naha,1856035
