city,year,month,day,temp_max,temp_min,weather_d,weather_n
札幌,2017,1,1,1.6,-5.7,曇後晴,曇一時雪
札幌,2017,1,2,3.3,-2.9,曇時々晴,曇後雪
札幌,2017,1,3,0.8,-3.7,雪一時曇,曇一時雪
札幌,2017,1,4,-0.6,-4.7,曇後雪一時晴,曇時々雪
札幌,2017,1,5,-2.8,-6.0,雪時々曇一時晴,晴後雪
札幌,2017,1,6,-1.2,-7.2,晴時々曇一時雪,晴
札幌,2017,1,7,3.5,-6.2,晴時々曇一時雪,雪時々曇
札幌,2017,1,8,-0.3,-6.1,雪時々曇後晴,晴後曇
札幌,2017,1,9,1.0,-4.2,雪後時々曇,曇時々雪一時みぞれ
札幌,2017,1,10,-0.4,-8.0,雪一時曇,雪時々曇一時晴
札幌,2017,1,11,-6.7,-9.8,雪時々曇,雪一時曇
札幌,2017,1,12,-7.4,-10.4,雪,雪後時々晴
札幌,2017,1,13,-4.8,-11.7,晴時々雪,晴後曇
札幌,2017,1,14,-5.0,-11.5,曇時々晴,晴後時々雪
札幌,2017,1,15,-1.5,-9.4,晴時々雪,曇一時雪
札幌,2017,1,16,1.9,-3.1,曇,晴一時曇
札幌,2017,1,17,-0.3,-7.0,晴後曇,雪一時曇
札幌,2017,1,18,-0.1,-4.5,曇時々雪,曇後雪
札幌,2017,1,19,0.5,-5.3,雪時々晴、あられを伴う,曇時々晴
札幌,2017,1,20,-1.1,-7.0,晴時々雪,晴
札幌,2017,1,21,-1.8,-9.2,曇時々晴,晴時々曇
札幌,2017,1,22,-2.8,-8.4,曇後雪,雪時々曇
札幌,2017,1,23,-2.7,-9.1,雪時々曇一時晴,曇時々雪一時晴
札幌,2017,1,24,-5.0,-12.8,晴後雪、あられを伴う,雪
札幌,2017,1,25,-2.2,-8.9,雪時々曇後晴,曇時々晴一時雪
札幌,2017,1,26,1.0,-5.3,晴一時曇,晴時々曇後雪
札幌,2017,1,27,4.7,-5.3,雨後一時雪,雪
札幌,2017,1,28,-2.2,-5.7,雪,曇一時雪後晴
札幌,2017,1,29,-0.4,-6.8,曇時々晴,曇後雪
札幌,2017,1,30,-1.2,-4.5,曇時々雪,雪時々晴、あられを伴う
札幌,2017,1,31,-1.9,-7.7,雪後晴、あられを伴う,曇時々雪一時晴
札幌,2017,2,1,0.9,-7.9,雪時々曇,雪時々曇
札幌,2017,2,2,-5.7,-8.9,雪,雪時々曇
札幌,2017,2,3,-1.8,-8.0,晴時々雪一時曇,雪時々曇
札幌,2017,2,4,2.2,-2.5,曇時々雪一時晴,晴時々曇
札幌,2017,2,5,2.3,-5.3,晴後時々薄曇,曇一時晴
札幌,2017,2,6,2.3,-3.5,曇,曇一時晴
札幌,2017,2,7,-1.9,-4.5,雪時々曇一時晴,雪時々曇一時晴
札幌,2017,2,8,0.3,-3.9,曇時々雪,曇後時々晴
札幌,2017,2,9,2.8,-6.1,晴時々曇,晴後曇
札幌,2017,2,10,1.3,-3.6,曇,薄曇
札幌,2017,2,11,1.2,-6.0,曇後一時雪,雪
札幌,2017,2,12,2.0,-0.2,雪時々曇,曇時々雪
札幌,2017,2,13,2.6,0.1,雪時々曇,雪時々曇、みぞれを伴う
札幌,2017,2,14,1.2,-0.8,雪,雪後曇一時晴
札幌,2017,2,15,3.2,-3.7,曇時々晴,晴時々曇
札幌,2017,2,16,8.1,-3.6,曇後一時雨,曇時々雨
札幌,2017,2,17,8.3,-5.2,雪一時曇、みぞれを伴う,雪一時曇
札幌,2017,2,18,-3.7,-8.4,晴時々雪,晴時々曇後雪
札幌,2017,2,19,-1.7,-7.1,雪後晴,晴時々曇
札幌,2017,2,20,-0.8,-7.6,薄曇後雪,雪一時曇
札幌,2017,2,21,-2.6,-7.1,雪時々曇,曇時々雪一時晴
札幌,2017,2,22,0.8,-7.0,薄曇,薄曇
札幌,2017,2,23,3.3,-1.8,曇時々雨、みぞれを伴う,雪一時曇
札幌,2017,2,24,0.3,-3.5,雪時々曇一時晴,晴一時雪
札幌,2017,2,25,1.6,-4.9,曇時々雪,雪後時々晴
札幌,2017,2,26,-2.8,-7.6,雪時々曇,曇時々雪
札幌,2017,2,27,-0.3,-10.8,晴一時雪,快晴
札幌,2017,2,28,4.1,-8.4,晴後時々曇,曇時々晴
札幌,2017,3,1,6.7,-1.1,曇後雨,曇一時雨
札幌,2017,3,2,7.5,2.0,薄曇一時晴,曇後雨、みぞれを伴う
札幌,2017,3,3,3.5,-3.1,雪一時雨,曇後晴一時雪
札幌,2017,3,4,-0.2,-4.6,晴時々雪,晴時々雪
札幌,2017,3,5,1.2,-4.5,晴後時々雪,晴時々曇一時雪
札幌,2017,3,6,1.1,-5.0,晴後薄曇,曇時々雪
札幌,2017,3,7,1.8,-2.7,晴時々曇一時雪,晴一時雪
札幌,2017,3,8,1.4,-5.7,晴後曇一時雪,曇一時晴
札幌,2017,3,9,3.4,-3.2,曇一時雪,曇時々雪
札幌,2017,3,10,1.2,-1.8,曇時々雪,晴時々曇後雪
札幌,2017,3,11,4.0,-1.8,晴一時雪,晴
札幌,2017,3,12,4.0,-4.1,晴,晴
札幌,2017,3,13,5.5,-4.0,薄曇後晴,晴後一時曇
札幌,2017,3,14,5.1,-2.0,曇,薄曇時々晴
札幌,2017,3,15,3.8,-3.5,薄曇後晴,晴後一時曇
札幌,2017,3,16,3.7,0.9,曇時々みぞれ一時雪,曇時々雪、あられを伴う
札幌,2017,3,17,4.5,0.9,晴一時曇,晴一時雪
札幌,2017,3,18,5.3,0.3,晴,晴後薄曇
札幌,2017,3,19,5.9,2.0,晴時々薄曇,晴
札幌,2017,3,20,7.4,1.8,晴,晴後曇
札幌,2017,3,21,6.2,1.0,曇,曇時々雨
札幌,2017,3,22,5.6,0.3,曇一時雪,曇時々雪一時晴
札幌,2017,3,23,2.6,-1.2,雪時々曇一時晴、あられを伴う,雪、あられを伴う
札幌,2017,3,24,2.9,-1.9,雪時々曇、あられを伴う,雪時々曇
札幌,2017,3,25,4.9,0.0,雪時々曇後晴,快晴
札幌,2017,3,26,7.0,-2.5,晴,晴一時薄曇
札幌,2017,3,27,8.7,-1.9,晴後時々薄曇,晴時々曇一時雪
札幌,2017,3,28,6.5,0.1,晴後雪一時雨,晴一時曇
札幌,2017,3,29,9.6,-0.4,晴一時みぞれ,　曇一時晴
札幌,2017,3,30,4.3,0.3,曇後みぞれ,雪後晴、みぞれを伴う
札幌,2017,3,31,4.3,-0.5,晴,　快晴
札幌,2017,4,1,6.6,-2.3,晴後曇一時雨、あられを伴う,晴
札幌,2017,4,2,7.5,-1.3,晴後一時曇,晴
札幌,2017,4,3,11.1,1.1,薄曇時々晴,晴一時曇
札幌,2017,4,4,10.6,2.3,晴時々曇,快晴
札幌,2017,4,5,15.4,2.5,晴,晴
札幌,2017,4,6,18.0,5.6,曇後一時雨,雨
札幌,2017,4,7,11.1,4.1,曇一時雨後時々晴,晴後薄曇
札幌,2017,4,8,7.5,3.9,曇一時雨,曇一時雨
札幌,2017,4,9,10.1,4.3,曇時々晴,晴一時曇
札幌,2017,4,10,10.0,4.0,快晴,晴
札幌,2017,4,11,10.9,3.2,曇,雨一時曇
札幌,2017,4,12,6.3,1.8,みぞれ時々雨後一時晴,晴後雪時々曇
札幌,2017,4,13,4.4,-2.4,雪一時曇,晴一時曇
札幌,2017,4,14,17.9,1.2,晴,曇時々晴
札幌,2017,4,15,19.0,9.5,曇後晴,晴
札幌,2017,4,16,17.5,6.0,晴一時曇,快晴
札幌,2017,4,17,15.4,3.6,晴後時々薄曇,曇後時々雨
札幌,2017,4,18,10.1,3.1,雨、雷を伴う,曇一時雨
札幌,2017,4,19,8.7,2.4,曇後雨,雨時々曇、あられを伴う
札幌,2017,4,20,7.2,1.6,曇一時雨,曇時々雨
札幌,2017,4,21,13.4,3.2,晴一時薄曇,雨一時曇
札幌,2017,4,22,6.6,3.0,雨,雨後一時曇
札幌,2017,4,23,10.0,3.5,曇一時雨後晴,快晴
札幌,2017,4,24,16.0,1.8,晴時々薄曇,晴後薄曇
札幌,2017,4,25,20.0,6.8,曇後時々雨,晴一時雨
札幌,2017,4,26,17.6,5.9,曇後時々雨,晴
札幌,2017,4,27,13.9,5.4,曇時々晴一時雨,曇時々雨後一時晴
札幌,2017,4,28,14.2,5.0,曇時々晴後一時雨,曇一時雨後晴
札幌,2017,4,29,16.3,6.5,晴,晴時々曇
札幌,2017,4,30,15.5,7.2,曇後時々雨、大風を伴う,曇一時雨
札幌,2017,5,1,13.3,6.8,曇一時雨,曇時々霧雨
札幌,2017,5,2,14.2,6.9,晴一時曇,晴後一時薄曇
札幌,2017,5,3,23.6,6.5,　晴時々薄曇,快晴
札幌,2017,5,4,26.1,8.8,快晴,晴後一時曇
札幌,2017,5,5,24.8,11.9,曇一時晴,晴後薄曇
札幌,2017,5,6,21.8,8.7,曇一時雨,晴後一時雨
札幌,2017,5,7,17.3,8.9,晴一時雨後時々曇,曇時々雨一時晴
札幌,2017,5,8,13.4,6.4,曇一時雨後晴,快晴
札幌,2017,5,9,19.7,4.2,快晴,晴後薄曇
札幌,2017,5,10,18.5,10.4,曇後一時雨,曇時々雨
札幌,2017,5,11,16.4,11.9,雨一時曇,雨後時々曇
札幌,2017,5,12,19.9,11.2,晴一時曇,曇一時晴
札幌,2017,5,13,15.5,9.1,薄曇,曇
札幌,2017,5,14,12.3,8.1,曇時々雨,曇時々雨
札幌,2017,5,15,13.9,8.0,曇一時雨,雨時々曇
札幌,2017,5,16,13.9,9.3,曇時々雨,曇後一時晴
札幌,2017,5,17,20.4,8.2,晴,晴一時曇
